SAMPLE_PK,STATE,YEAR,MONTH,DATE,SITE,COMMODITY,SOURCE_ID,VARIETY,ORIGIN,COUNTRY,DISTTYPE,COMMTYPE,CLAIM,QUANTITY,GROWST,PACKST,DISTST
1,CA,14,10,20,10,AP, ,Fuji,1,,H,FR,NC,12,,,WA
2,CA,14,10,20,17,AP, ,Red Delicious,1,,H,FR,NC,14,,,WA
3,CA,14,10,20,114,AP, ,Fuji,1,,H,FR,NC,10,,WA,WA
4,CA,14,10,20,140,AP, ,Gala,1,,D,FR,NC,15,,,WA
5,CA,14,10,20,142,AP,P,Red Delicious,1,,R,FR,NC,12,,WA,
6,CA,14,10,20,150,AP, ,Red Delicious,1,,D,FR,NC,17,,,WA
7,CA,14,10,20,152,AP, ,Red Delicious,1,,D,FR,NC,13,,,WA
8,CA,14,10,20,277,AP, ,Red Delicious,1,,H,FR,NC,12,,,WA
9,CA,14,10,20,419,AP, ,Braeburn,2,660,T,FR,NC,9,,,
10,CA,14,10,20,473,AP, ,Fuji,1,,H,FR,NC,22,,,WA
11,CA,14,10,20,564,AP, ,Red Delicious,1,,D,FR,NC,12,,WA,
12,CA,14,10,20,594,AP, ,Gala,1,,H,FR,NC,20,,WA,WA
13,CA,14,10,20,602,AP, ,Jonathan,1,,H,FR,NC,17,,ID,
14,CA,14,11,17,17,AP, ,Granny Smith,1,,H,FR,NC,16,,,WA
15,CA,14,11,17,43,AP, ,Gala,1,,T,FR,PO,12,,WA,
16,CA,14,11,17,140,AP, ,Red Delicious,1,,D,FR,NC,12,,,WA
17,CA,14,11,17,142,AP,P,NA,1,,R,FR,NC,14,,CA,
18,CA,14,11,17,149,AP, ,NA,1,,D,FR,NC,12,,,WA
19,CA,14,11,17,277,AP, ,Fuji,1,,H,FR,NC,12,,WA,
20,CA,14,11,17,373,AP, ,Granny Smith,1,,T,FR,NC,10,,WA,
21,CA,14,11,17,406,AP, ,NA,1,,D,FR,PO,16,,WA,WA
22,CA,14,11,17,433,AP, ,Granny Smith,1,,H,FR,NC,10,,,WA
23,CA,14,11,17,472,AP, ,Fuji,1,,H,FR,NC,16,CA,CA,CA
24,CA,14,11,17,473,AP, ,Red Delicious,1,,H,FR,NC,15,,,WA
25,CA,14,11,17,559,AP, ,Pink Lady,1,,R,FR,NC,12,,WA,WA
26,CA,14,11,17,564,AP, ,Red Delicious,1,,D,FR,NC,15,,WA,
27,CA,14,12,15,17,AP, ,Gala,1,,H,FR,NC,13,,WA,
28,CA,14,12,15,20,AP, ,Red Delicious,1,,H,FR,NC,27,,,WA
29,CA,14,12,15,217,AP, ,Aztec Fuji,1,,T,FR,NC,12,,WA,
30,CA,14,12,15,223,AP, ,Granny Smith,1,,T,FR,NC,19,,,WA
31,CA,14,12,15,373,AP, ,Fuji,1,,T,FR,NC,12,,,WA
32,CA,14,12,15,419,AP, ,Granny Smith,1,,T,FR,NC,10,,WA,WA
33,CA,14,12,15,469,AP, ,Gingergold,1,,L,FR,NC,11,,,WA
34,CA,14,12,15,485,AP, ,Granny Smith,1,,H,FR,NC,13,,,WA
35,CA,14,12,15,490,AP, ,Jazz,1,,R,FR,NC,11,,WA,WA
36,CA,14,12,15,495,AP, ,Fuji,1,,R,FR,NC,13,,WA,WA
37,CA,14,12,15,513,AP, ,Jonagold,1,,R,FR,NC,9,,,WA
38,CA,14,12,15,609,AP, ,Granny Smith,1,,H,FR,NC,10,,,WA
39,CA,14,12,15,616,AP, ,Red Delicious,1,,D,FR,NC,9,,,WA
40,CO,14,10,27,6,AP, ,Fuji,1,,D,FR,NC,12,,,IL
41,CO,14,10,27,17,AP, ,Red Delicious,1,,D,FR,NC,16,,,WA
42,CO,14,11,24,9,AP, ,Honeycrisp,1,,D,FR,NC,13,,,WA
43,CO,14,11,24,12,AP, ,Red Delicious,1,,D,FR,NC,10,,,WA
44,CO,14,12,22,7,AP, ,Granny Smith,1,,D,FR,NC,12,,WA,WA
45,CO,14,12,22,17,AP, ,Red Delicious,1,,D,FR,NC,15,,,WA
46,FL,14,10,27,29,AP, ,Golden Delicious,1,,D,FR,NC,11,,,WA
47,FL,14,10,27,48,AP, ,Red Delicious,1,,D,FR,NC,11,,WA,
48,FL,14,10,27,52,AP, ,Red Delicious,1,,D,FR,NC,14,,WA,TX
49,FL,14,10,27,56,AP, ,Extra Fancy Ambrosia,1,,D,FR,NC,13,WA,,WA
50,FL,14,10,27,57,AP, ,Granny Smith,1,,L,FR,NC,13,,,IL
51,FL,14,10,28,20,AP,P,Pink Lady,1,,R,FR,NC,15,,,
52,FL,14,10,28,40,AP,P,Extra Fancy Fuji,1,,L,FR,NC,13,,,WA
53,FL,14,11,17,7,AP,A,Gala,1,,D,FR,PO,12,,,WA
54,FL,14,11,17,7,AP,B,Granny Smith,1,,D,FR,NC,20,,,WA
55,FL,14,11,17,38,AP, ,Honey Crisp,1,,D,FR,NC,8,,,NY
